id	dialog	joy	sadness	trust	disgust	fear	anger	surprise	anticipation
53	They said you're home for at least four years.	1	0	1	0	0	0	0	0
54	I guess they can do it,	1	0	1	0	0	0	0	0
55	The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.	1	0	0	0	0	0	0	0
56	That's not fair.	0	0	0	1	0	0	0	0
57	I can't believe it. I just got back.	1	0	0	0	0	0	1	0
58	[BREATHING]	1	0	0	0	0	0	0	1
59	...we're all shipping out.	0	0	0	0	0	0	0	0
60	I just got I feel like I'm in shock actually.	0	0	0	0	0	1	0	0
61	I don't know.	0	0	0	0	0	0	0	0
62	What about the birthday party?	1	0	0	0	0	0	0	1
63	I guess you're just going to have to have it without me.	0	0	0	1	0	0	0	0
64	Hey listen, it's going to be okay though, all right?	0	1	0	0	1	1	0	0
65	You're going to be fine.	1	0	0	0	0	0	0	0
66	Me?  I'm not worried about me.	0	0	1	0	0	0	0	1
67	I'm going to be fine too, okay?	1	0	1	0	0	0	0	0
68	How do you know?	0	0	0	0	0	0	0	0
69	I know I have a good... I have a really good group of guys with me.	1	0	0	0	0	0	0	0
70	We're going to be okay.	1	0	1	0	0	0	0	0
71	You're going with the same ones?	1	0	0	0	0	0	1	0
72	Do promise me you're going to take a lot of pictures.	1	0	0	0	0	0	0	1
73	It's not the same though.	0	0	0	0	0	0	0	0
74	I just wish there was something I could do.	0	0	0	0	0	0	0	0
75	I really don't want to go, I don't want to go...	0	0	0	0	0	0	0	0
76	[LAUGHTER] Mmm.	1	0	0	0	0	0	1	1
77	I'm scared.	0	0	0	0	1	0	0	0
78	I'll send you a letter every single day.	1	0	0	0	0	0	1	0
79	I love you.	1	0	0	0	0	0	0	0
80	I love you too.	1	0	0	0	0	0	0	0
81	The craziest thing just happened to me.	0	0	0	1	0	0	0	0
82	What?	0	0	0	0	0	0	0	0
83	Why?	0	0	0	0	0	1	0	0
84	Well, she's not a citizen so she wants to get a visa.	1	0	0	0	0	0	0	1
85	Is she on the run?	0	0	0	0	0	0	0	0
86	No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.	1	0	0	0	0	0	1	0
87	Oh, she just needs to marry you.	0	0	0	0	0	1	0	0
88	That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.	1	0	0	0	0	0	1	1
89	That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?	0	0	0	1	0	0	0	0
90	She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask.	0	0	0	1	1	0	0	0
91	That's so cool. Uh huh.	0	0	0	0	0	1	0	0
92	[LAUGHTER] Why did she pick you? Where were you?	1	0	0	0	0	0	0	1
93	Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...	0	0	0	1	0	1	0	0
94	You were at a party? And she's like hey. You seem unattached she's like.	1	0	0	0	0	0	0	1
95	Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...	0	1	0	0	1	0	1	0
96	Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...	1	0	0	0	0	0	0	1
97	Have you?	0	0	0	0	0	0	0	0
98	It's like I'm really going to get married. We'll have like the whole thing.	1	0	0	0	0	0	1	0
99	Oh, good. [LAUGHTER]	1	0	0	0	0	0	1	1
100	I know. What do you think I should-	0	0	0	0	0	0	0	0
101	Oh good idea.	1	0	0	0	0	0	0	0
102	Yeah.  Make her like open the bank account and stuff too.	1	0	1	0	0	0	0	0
103	Yeah.	1	0	1	0	0	0	0	0
104	Dude, you lucked out.	1	0	0	0	0	0	1	0
105	I know.  Also I get to like plan the wedding now too. That will be fun.	1	0	0	0	0	0	0	0
106	Yeah.  My colors are blush and beige what is it, do you know?	0	0	0	0	1	0	0	1
107	Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?	0	0	0	1	0	0	0	0
108	Oh I don't know. [LAUGHTER]	1	0	0	0	0	0	1	1
109	I don't know get it in cash.	1	0	1	0	0	0	0	0
110	Just cash hardcore.	1	0	0	0	0	0	0	1
111	How exciting. You should have a wedding on the beach.	1	0	0	0	0	0	0	1
112	Yeah, like a big like- A wedding on the beach, that would be nice.	1	0	0	0	0	0	0	0
113	Yeah, at night.	1	0	1	0	0	0	0	0
114	And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.	1	0	1	0	0	0	0	1
115	Oh yeah, absolutely, absolutely.	1	0	1	0	0	0	0	0
116	How exciting.  You should make her bring all your friends too.	1	0	0	0	0	0	0	0
117	Incredible.	1	0	0	0	0	0	1	1
118	you're a lucky, lucky, lucky man.	1	0	0	0	0	0	1	0
119	Will you help me plan?	0	1	0	0	1	0	1	0
120	Oh, totally. Yeah.	1	0	1	0	0	0	0	0
121	Good.	1	0	0	0	0	0	0	0
122	Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.	1	0	1	0	0	0	0	1
123	For softball.  They're going to pay me to go to school. Isn't that awesome?	0	0	0	1	0	0	0	0
124	Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.	1	0	0	0	0	0	0	0
125	Uh huh.	0	0	0	0	0	1	0	0
126	That is incredible.	1	0	0	0	0	0	1	1
127	That's amazing. They pay for everything?	1	0	0	0	0	0	1	0
128	I know. For softball, yeah.	1	0	1	0	0	0	0	0
129	That is amazing, congratulations. Good for you.	1	0	0	0	0	0	1	0
130	Thank you.	1	0	1	0	0	0	0	0
131	Oh.	0	0	0	0	0	0	0	0
132	Yeah, that you probably. You should see one of these Victorian houses around by.	1	0	0	0	0	0	0	0
133	Where should I move?	0	0	0	0	0	0	0	0
134	Oh. Venice beach.	1	0	1	0	0	0	0	0
135	Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.	1	0	1	0	0	0	0	0
136	Professional softball player Malibu. [LAUGHTER]	1	0	0	0	0	0	1	1
137	I don't know. Commuting from what Malibu that would be ridiculous.	0	0	0	1	0	1	0	0
138	Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly.	1	0	0	0	0	0	0	1
139	Oh yeah. He'd drop you right off at practice?	0	0	0	0	1	0	0	0
140	Yeah. I think it's in the afternoon 'cause I mean can't be too early 'cause then you can't see the ball.	1	0	1	0	0	0	0	0
141	They have those neon--softballs.  They're like day-glow you can see them anywhere.	1	0	0	0	0	0	0	0
142	Oh. That is incredible. Is it--	1	0	0	0	0	0	1	1
143	do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.	0	0	0	0	0	0	0	0
144	No it's all boys. All boys' softball team.	0	0	0	0	0	0	0	0
145	They do it's--believe me it's huge.	1	0	1	0	0	0	0	0
146	Who do you play? Like do--are you like... nationally ranked?	1	0	0	0	0	0	1	0
147	I just got into it. I just kind of fell into it. Literally I was walking around and...	1	0	0	0	0	0	1	0
148	That is unbelievable.	1	0	0	0	0	0	1	0
149	It's pretty wild.	1	0	0	0	0	0	0	1
150	I would put that right up there with--ping-pong.	1	0	0	0	0	0	1	0
151	Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]	0	1	0	1	1	0	0	0
152	I mean not to denigrate what you are doing.  I think that's great.	1	0	0	0	0	0	1	0
153	What, just 'cause I don't play regular baseball doesn't mean I'm like any less of like a sports guy.	0	1	0	1	0	0	0	0
154	I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.	1	0	0	0	0	0	0	1
155	But they got to like drive around in a bus--that would suck.	1	0	1	0	0	0	0	0
156	Oh really? With the whole team?	0	0	0	0	0	0	0	0
157	Yeah we have like away games and stuff.	1	0	1	0	0	0	0	0
158	What are your teammates like? I'm sure you don't know yet? What kind of people play softball?	1	0	0	0	0	0	0	1
159	Like, you know like police officers, like--kind of heavyset guys. Mustaches, yeah. It's that kind of-	1	0	0	0	0	0	1	0
160	Cool. You don't seem like you'd fit in there.	0	0	0	1	0	0	0	0
161	That kind of...They're okay.  No I'm like- I'm kind of like the odd man out I'm like...	0	0	0	0	0	1	0	0
162	Oh, cool.	1	0	1	0	0	0	0	0
163	But you know I'm like [GARBAGE].	0	0	0	1	0	0	0	0
164	You're like the rookie? The new kid.	0	0	0	1	0	1	0	0
165	Yeah.	1	0	1	0	0	0	0	0
166	I'm going to have a mustache...On the force...	1	0	0	0	0	0	1	0
167	Yeah, I'm just-- yeah	1	0	1	0	0	0	0	0
168	What's happened?	0	0	0	1	1	1	1	0
169	You didn't even hear?	0	0	0	0	0	0	0	0
170	You don't have to if you don't want to.	0	0	0	0	0	0	0	0
171	I just...I just basically lost someone that was really close to me.	1	0	0	0	0	0	0	0
172	And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...	0	1	0	0	1	1	0	0
173	He kind of didn't have anyone to take care of that for him, so--	1	0	0	0	0	0	0	1
174	You've been taking care of it all?	1	0	0	0	0	0	0	1
175	Oh Jesus.	0	0	0	0	0	0	0	0
176	It's just really...really messed up.	0	1	0	0	1	1	0	0
177	He sick for awhile?	0	1	0	0	1	0	0	0
178	Just like it.	0	0	0	0	0	0	0	0
179	Was it an accident?	0	1	0	0	1	0	0	0
180	No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --	1	0	1	0	0	0	0	0
181	Well, I'm confused.  He was sick or it was an accident?	1	0	0	0	0	0	0	1
182	He was sick. He got sick. He got sick but it happened really, really fast, you know.	1	0	0	0	0	0	1	0
183	Oh. Really fast? Oh.	1	0	0	0	0	0	1	0
184	It was kind of like boom... done	1	0	0	0	0	0	1	0
185	It's just really weird because he was really young you know and it kind of like...	1	0	0	0	0	0	0	1
186	Yeah.	1	0	1	0	0	0	0	0
187	Totally, yeah.	1	0	1	0	0	0	0	0
188	So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff.  You just like used to take for granted--you know.	1	0	0	0	0	0	0	0
189	Mmhmm.	0	0	0	0	0	0	0	0
190	Lock	0	0	0	1	1	0	0	0
191	Mmhmm.	0	0	0	0	0	0	0	0
192	The plans you make [GARBAGE].	0	0	0	1	0	0	0	0
193	Exactly, you know, and like he had so many plans and he was going to do...	1	0	1	0	0	0	1	0
194	It leaves a hole for you too.	0	1	0	1	1	1	0	0
195	so many things, you know?	0	0	0	0	0	0	0	0
196	It leaves a hole for you too, in your plans together.	0	1	0	1	1	1	0	0
197	What?	0	0	0	0	0	0	0	0
198	Yeah.	1	0	1	0	0	0	0	0
199	It gets better.	1	0	0	0	0	0	1	0
200	A lot of people loved him.	1	0	0	0	0	0	0	0
201	MMhmm.	0	0	0	0	0	0	0	0
202	You know, it's like affecting a lot of people it's not just me, you know?	0	1	0	0	0	0	0	0
203	Mmhmm.	0	0	0	0	0	0	0	0
204	How long did you know each other?	1	0	0	0	0	0	1	0
205	Umm...	1	0	0	0	0	0	1	0
206	For like eight years.	0	0	0	0	0	0	0	0
207	That's a long time.	1	0	0	0	0	0	1	0
208	Yeah.	1	0	1	0	0	0	0	0
209	It's good that you were there.	1	0	0	0	0	0	0	0
210	So weird,	0	1	0	0	1	0	0	0
211	"like I can't...it's like you know it's like ""pinch me"" it's like I can't believe like I'm dealing with this, you know."	0	1	0	0	1	1	0	0
212	It's not fair.	0	0	0	1	0	0	0	0
213	I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.	1	0	1	0	0	0	0	0
214	There's a lot of people looking for jobs.	0	0	0	0	0	0	0	0
215	I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know.	0	1	0	0	1	0	0	0
216	I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.	0	1	0	0	1	0	1	0
217	Did you ever think it might be your attitude that's...	0	0	0	0	0	0	0	0
218	"What's my--like what do you mean ""my attitude""?"	0	0	0	0	0	0	0	0
219	I don't know just sometimes you get kind of... No, I'm not saying that.  I just--	0	0	0	0	0	0	0	0
220	Do I have an attitude problem?	0	0	0	0	1	1	0	0
221	No, well maybe it's because I'm like frustrated 'cause I can't get a job, you know.	0	1	0	1	0	0	0	0
222	...has anyone ever just said anything like that to you before?	0	0	0	0	0	0	0	0
223	Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?	0	1	0	0	1	0	0	0
224	Right, sure.	1	0	1	0	0	0	0	0
225	But I mean you kind of got to, you got to fake it 'til you feel it, right?	0	0	0	1	0	0	0	0
226	I guess I just getting really hard to fake, you know.	1	0	0	0	0	0	0	0
227	I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.	0	0	0	0	0	0	0	0
228	Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?	0	1	0	1	1	1	0	0
229	No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.	1	0	1	0	0	0	0	0
230	No.	0	0	0	0	0	0	0	0
231	What?	0	0	0	0	0	0	0	0
232	Well, you know a little.  If you were to listen to--	1	0	0	0	0	0	0	1
233	I just don't want you to fly off the handle.	0	0	0	0	0	1	0	0
234	You kind of have a short fuse.	0	0	0	0	0	1	0	0
235	I have a short fuse?	0	0	0	0	0	1	0	0
236	Yeah.	1	0	1	0	0	0	0	0
237	Like this, right now we're trying have a conversation.	0	1	0	1	0	0	0	1
238	We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.	0	1	0	1	0	0	0	0
239	I'm not always right I'm just--	0	0	0	0	0	0	0	0
240	I can't finish the sentence with you without you jumping in...	0	1	0	1	1	0	0	0
241	...and you're always right.	0	0	0	0	0	0	0	0
242	You have an excuse for everything.	0	1	0	1	1	1	0	0
243	I'm just saying that maybe you should take in some information before you produce more of your own.	1	0	0	0	0	0	1	0
244	That's -.	0	0	0	0	0	0	0	0
245	Can I help you?	1	0	0	0	0	0	0	0
246	Yes, please help me.  Where is my bag?	1	0	1	0	0	0	0	0
247	I need a little more information.	1	0	0	0	0	0	1	0
248	Where is my bag?  Come on, I've been here for four hours.	1	0	1	0	0	0	0	0
249	What- What flight did you come in on?	0	0	0	0	0	0	0	0
250	Okay, I'm coming in from Atlanta.	1	0	1	0	0	0	0	0
251	Georgia?	0	0	0	0	0	0	0	0
252	Yes, Georgia.  Good for you I need my bag.  Can you...	1	0	0	0	0	0	0	0
253	There's no need for you to raise your voice, sir.	0	0	0	0	0	1	0	0
254	Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?	0	1	0	0	1	0	0	0
255	Listen, shut your smug mouth, okay?  I don't need that.	0	0	0	1	0	1	0	0
256	I've been sitting here for four hours.	0	0	0	0	0	0	0	0
257	I'm not a child.	0	0	0	0	0	0	0	0
258	I've been here for sixteen.	0	0	0	0	0	0	0	0
259	You people have just been tossing me around like a used hanky.	0	1	0	0	1	0	0	0
260	I come here every single day.	0	0	0	0	0	0	0	0
261	Details, Details.  Well, anyhow can I--	1	0	0	0	0	0	0	0
262	so you flew in from Atlanta...	1	0	0	0	0	0	0	0
263	It's a little black bag with wheels.	0	0	0	0	0	0	0	0
264	Do you have any i-?	0	0	0	0	0	0	0	0
265	That you wouldn't let me put in the overhead compartment.  You said I had to check it.	1	0	1	0	0	0	0	0
266	I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.	0	0	0	0	0	0	0	0
267	It's a tiny little bag.	0	0	0	1	0	0	0	0
268	It was right in the middle of five different people.  I had a huge fat lady next me, a crying kid on left I went like can I please get a Bloody Mary, please? Will you bring a Bloody Mary?	0	1	0	0	1	0	1	0
269	I have some unfortunate news, uh, that your bag isn't going to be--	0	0	0	0	0	1	0	0
270	Just had a really, really stressful day, okay?  And I need my bag; can you please help me get my bag?	0	1	0	0	1	1	0	0
271	It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...	1	0	1	0	0	0	0	0
272	...and your future...	0	0	0	0	0	0	0	0
273	Yes.	1	0	1	0	0	0	0	0
274	We've actually...	0	0	0	0	0	0	0	0
275	You mean did someone steal it? Do people steal bags?	0	0	0	1	0	1	0	0
276	They do as matter of fact.  We don't like to publicize it because	1	0	0	0	0	0	0	0
277	people wouldn't Fly our airline.	0	0	0	0	0	0	0	0
278	Probably people that work for your company huh?	1	0	1	0	0	0	0	0
279	Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?	0	0	0	0	0	1	0	0
280	My computer which has all of my data which I'm collecting right now.	1	0	1	0	0	0	0	0
281	That's unfortunate.	0	0	0	0	0	1	0	0
282	Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that.  So I need to have that back.	0	0	0	0	1	1	0	0
283	That's too bad.	0	0	0	1	0	0	0	0
284	Well you need to find it. Can I just go back there and look through the bags?  Can I just go back there and just go through maybe I'll find it.	1	0	0	0	0	0	0	0
285	No.	0	0	0	0	0	0	0	0
286	We have plenty of aggressive searching going on it's not there.  Someone's taken it.	1	0	0	0	0	0	0	1
287	I know what you guys do when you're not working you're union people; you just sit around on your ass.	0	1	0	1	1	1	0	0
288	You know I don't need to take this sort of abuse.	0	0	0	1	0	1	0	0
289	Well, I don't need to take this kind of abuse either.  I just was trying get back to Atlanta. I just got home, I just want to get my bag and get my stuff. And keep my job.	1	0	1	0	0	0	0	0
290	Then why don't you take your fifty dollars. Get yourself a taxi and go shopping tomorrow.	1	0	1	0	0	0	0	0
291	[BREATHING]	1	0	0	0	0	0	0	1
292	Thank you very much.	1	0	1	0	0	0	0	0
293	I know.  It kind of went out of style, didn't it?	0	0	0	1	1	1	1	0
294	[BREATHING] You know, it's lovely here.  The air is sweet.	1	0	0	0	0	0	0	1
295	You're not sorry you came.	1	0	0	0	0	0	0	1
296	I'm not sorry, no. But I'm...I can't stay.	1	0	0	0	0	0	0	1
297	Why not?	0	0	0	0	0	0	0	0
298	For one thing, your mother much as told me to go.	0	0	0	0	0	0	0	0
299	And then, you.  You've been kind of...	0	0	0	0	0	0	0	0
300	Sort of embarrassed ever since I got here.	0	0	0	1	0	0	0	0
301	Well sure, from your mother's point of view.  Why else would I come?	1	0	0	0	0	0	0	1
302	I, umm. I guess, I guess that's kind of why I came.	1	0	0	0	0	0	1	0
303	[BREATHING]	1	0	0	0	0	0	0	1
304	I love you. Annie, I love you.	0	1	0	1	1	1	0	0
305	[LAUGHTER]	1	0	0	0	0	0	1	1
306	[LAUGHTER]	1	0	0	0	0	0	1	1
307	No. No	0	0	0	1	0	0	0	0
308	Chris, I've been ready a long, long, time.	1	0	0	0	0	0	0	1
309	And he's gone forever?  Are you sure?	1	0	1	0	0	0	0	0
310	You started to write me.	1	0	1	0	0	0	0	0
311	You felt something that far back?	0	0	0	0	0	0	0	0
312	Every day since.	0	0	0	0	0	0	0	0
313	Why didn't you let me know?	0	0	0	0	0	0	0	0
314	Give me a kiss.	1	0	0	0	0	0	1	0
315	God.  I kissed you Annie.	1	0	0	0	0	0	1	0
316	beating around the bush.	1	0	0	0	0	0	1	0
317	Oh Annie, we are going to live now.  I am going to make you so happy.	1	0	0	0	0	0	0	0
318	I kissed you.	1	0	0	0	0	0	1	0
319	Like Larry's brother.  Do it like you, Chris.	1	0	1	0	0	0	0	0
320	Chris, what is it?	0	0	0	0	0	0	0	0
321	No. What is it?  Is it your mother?	0	0	0	0	0	0	0	0
322	No it's nothing like that. It's-	0	0	0	0	0	0	0	0
323	Then what?  Chris.  Even in your letters, there was something ashamed.	0	0	0	1	1	0	0	0
324	Yeah.  I suppose I have been. But it's going from me.	1	0	1	0	0	0	0	0
325	I don't even know how to start.	0	0	0	1	1	1	1	0
326	It wouldn't work like this.	0	1	0	0	1	1	0	0
327	It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?	1	0	0	0	0	0	1	1
328	Yeah, sure.	1	0	1	0	0	0	0	0
329	Well I lost them.	1	0	0	0	0	0	0	1
330	How many?	0	0	0	0	0	0	0	0
331	Pretty much all.	0	0	0	0	0	0	0	0
332	Aw, geez.	0	0	0	0	0	1	0	0
333	You can't just toss off a thing like that because they weren't just men. You know?	1	0	1	0	0	0	0	0
334	Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.	1	0	0	0	0	0	0	1
335	They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.	0	0	0	0	1	1	0	0
336	And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.	1	0	0	0	0	0	1	0
337	Mmhmm.	0	0	0	0	0	0	0	0
338	To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.	1	0	0	0	0	0	1	0
339	But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.	1	0	0	0	0	0	0	1
340	Driving my new car and seeing a new refrigerator.	1	0	1	0	0	0	0	0
341	I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.	0	1	0	0	0	0	0	0
342	And I didn't want any of it. I guess that included you.	1	0	1	0	0	0	0	0
343	Do you still feel that way?	0	0	0	0	0	0	0	0
344	I just want you to know Annie.	0	1	0	1	1	1	0	0
345	Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?	1	0	1	0	0	0	0	0
346	Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.	1	0	0	0	0	0	0	0
347	What would I do with a fortune?	1	0	1	0	0	0	0	0
348	Good God.	0	0	0	0	1	1	1	0
349	Is it them?	0	0	0	0	0	0	0	0
350	Freda is the only one who knows we are here.  She wouldn't ring up.	1	0	1	0	0	0	0	0
351	It must be them then.	0	0	0	0	0	0	0	0
352	It had to happen sooner or later.  What are we going to do?	0	0	0	0	0	1	0	0
353	[BREATHING]	1	0	0	0	0	0	0	1
354	We are okay, aren't we darling?	1	0	1	0	0	0	0	0
355	Hello?  Hello?  I'm sorry, what's that?	0	1	0	0	1	0	0	0
356	No.  Wrong number. [LAUGHTER]	0	0	0	1	1	1	0	0
357	What shall we do if they suddenly walk in on us.[LAUGHTER]	1	0	0	0	0	0	1	1
358	With perfect poise.	1	0	1	0	0	0	0	1
359	I think I shall do a curtsy.	0	0	0	0	1	0	0	1
360	It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?	1	0	0	0	0	0	0	0
361	Darling, don't say that.	1	0	1	0	0	0	0	0
362	It's true.  I think the whole thing's a cruel joke.	0	1	0	1	1	1	0	0
363	What?  This beautiful and sacred thing - love?	1	0	1	0	0	0	0	0
364	Yes.  Meaning just that.	1	0	0	0	0	0	1	0
365	Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?	1	0	1	0	0	0	0	0
366	Oh darling, you mustn't be serious.  It's just what they want.	1	0	1	0	0	0	0	0
367	You know, flippancy brings out the acid in their darned, light and sweetness.	0	1	0	1	1	1	0	0
368	you know if I laugh at everything then I must laugh at us, too.	0	0	0	1	0	1	0	0
369	Oh of course.  We are figures of fun.  All right.	1	0	0	0	0	0	0	0
370	How long with it last, this ludicrous overbearing love of ours?	0	0	0	1	0	1	0	0
371	Who knows?	0	0	0	0	0	0	0	0
372	Well it depends on how well we've played.	1	0	0	0	0	0	0	0
373	What happens if one of us dies?  Does the other one still laugh?	1	0	0	0	0	0	0	0
374	Well that's serious enough, isn't it?	1	0	0	0	0	0	0	1
375	No, no, no, no. no.  Death is a very laughable thing.  It's a cunning little mystery, it's all done with mirrors.	0	1	0	0	1	0	1	0
376	I think you are talking nonsense.	0	1	0	1	1	1	0	0
